# RA	DEC	class	z	D (cm)	Objname	log(L_[OIII])	log(L_MIR)	log(L_x(2-10))			F_i(2-10)	F_i(14-195)	logNH(low-upper)	F_OIII(cgs	F_MIR(cgs)	L_MIR(lower limit)	H/S	cm/Mpc	c	H
#											10^-12 erg cm^-2 s^-1		cm^-2					3.09E+24	3.00E+05	67.8
02h44m57.70s	62d28m06.5s	Sy1.2	0.044	6.01E+26	[HB89]0241+622	40.80392485	44.70615229	43.94202727			19.3	89.6	20.92[20.83-21.00]		4.50E-24					
00h43m01.87s	30d17m19.6s	Sy2	0.044076	6.02E+26	2MASXJ00430184+3017195	41.77096117	44.0826032	43.0729423			2.6	7.8	22.30[22.11-22.36]		1.07E-24	*	H			
12h32m11.83s	-42d17m52.2s	Sy1.5	0.1	1.37E+27	1RXSJ123212.3-421745	42.73826077	44.84810136	44.11775263			5.6	14.7	20.00[20.00-20.00]		1.21E-24		H			Sin L_OIII
02h42m03.80s	05d10m06.1s	Sy2	0.07106	9.70E+26	2MASXJ02420381+0510061	40.20945598	44.24924188	43.5641767			3.1	13.1	23.50[23.40-23.75]		6.03E-25	*	H			Sin L_MIR
03h30m52.18s	05d38m25.6s	Sy1.9	0.046	6.28E+26	2MASXJ03305218+0538253	42.46097917	43.93664813	43.61935955			8.4	11.4	20.00[20.00-20.00]		7.00E-25		H			LOIII_revisada_dca
04h44m09.01s	28d13m00.7s	Sy2	0.01065	1.45E+26	2MASXJ04440903+2813003	38.7418987	43.21867365	42.63910767			16.4	46.6	22.65[22.63-22.70]		2.50E-24		H			
08h55m17.47s	-28d54m21.4s	Sy2	0.073	9.97E+26	2MASXJ08551746-2854218	39.95799403	43.63880818	43.79518033			5	7.9	21.95[21.88-22.04]		1.40E-25		H			
09h17m27.21s	-64d56m27.1s	Sy2	0.085953	1.17E+27	2MASXJ09172716-6456271	42.3804746	43.9355865	43.91018454			4.7	12.7	21.41[20.70-21.74]		2.00E-25		H			
12h31m37.16s	-47d58m02.0s	Sy1.5	0.028	3.82E+26	2MASXJ12313717-4758019	41.43368832	43.64	43.15037139			7.7	13.3	20.59[20.48-21.08]				H			
14h39m11.87s	14d15m22.0s	Sy2	0.07178	9.80E+26	2MASXJ14391186+1415215	39.99871754	43.45	43.74432934			4.6	13.5	22.40[22.32-22.46]		0		H			
15h46m24.33s	69d29m10.0s	Sy2	0.03756	5.13E+26	2MASXJ15462424+6929102	41.85612654	43.71996578	43.07531827			3.6	15.8	23.49[23.31-23.73]		6.38E-25	*	H			
16h53m15.05s	23d49m43.0s	Sy2	0.10318	1.41E+27	2MASXJ16531506+2349431	42.64969249	44.79797663	44.03022411			4.3	12	23.27[23.18-23.33]		1.01E-24		H			
